success,timeout,method,time,solution,num_vars,trial,initial_awt,awt_thr,initial_active,bundle_size,error
True,False,mm_bundled,4.966792551676432,,5,7,0.43333333333333335,0.3466666666666667,3,2.0,
True,False,bfs,3.6668044726053877,"frozenset({0, 2})",5,8,0.43333333333333335,0.3466666666666667,3,,
True,False,mm,3.666858832041423,"frozenset({0, 2})",5,8,0.43333333333333335,0.3466666666666667,3,,
True,False,mm_bundled,14.93379014333089,"frozenset({0, 2})",5,8,0.43333333333333335,0.3466666666666667,3,1.0,
True,False,mm_bundled,4.135523207982381,,5,8,0.43333333333333335,0.3466666666666667,3,2.0,
True,False,bfs,17.883553393681844,,5,9,0.35,0.27999999999999997,4,,
True,False,mm,17.88407719930013,,5,9,0.35,0.27999999999999997,4,,
True,False,mm_bundled,17.88376940091451,,5,9,0.35,0.27999999999999997,4,1.0,
True,False,mm_bundled,3.8168094793955487,,5,9,0.35,0.27999999999999997,4,2.0,
True,False,bfs,5.417069832483928,"frozenset({0, 2})",10,0,0.43333333333333335,0.3466666666666667,3,,
True,False,mm,5.4168886343638105,"frozenset({0, 2})",10,0,0.43333333333333335,0.3466666666666667,3,,
True,False,mm_bundled,1.1668187777201335,"frozenset({2, 3})",10,0,0.43333333333333335,0.3466666666666667,3,2.0,
True,False,mm_bundled,0.7000660419464111,"frozenset({0, 1, 2, 3, 4})",10,0,0.43333333333333335,0.3466666666666667,3,5.0,
True,False,bfs,32.084424858244674,"frozenset({1, 4, 7})",10,1,0.26666666666666666,0.21333333333333335,6,,
True,False,mm,12.214259532898192,"frozenset({1, 4, 7})",10,1,0.26666666666666666,0.21333333333333335,6,,
True,False,mm_bundled,9.867419592539466,,10,1,0.26666666666666666,0.21333333333333335,6,2.0,
True,False,mm_bundled,1.2168228308359783,,10,1,0.26666666666666666,0.21333333333333335,6,5.0,
True,False,bfs,17.870640068962473,"frozenset({0, 1, 2})",10,2,0.30000000000000004,0.24000000000000005,5,,
True,False,mm,13.537213275546126,"frozenset({0, 1, 6})",10,2,0.30000000000000004,0.24000000000000005,5,,
True,False,mm_bundled,10.21021450814747,,10,2,0.30000000000000004,0.24000000000000005,5,2.0,
True,False,mm_bundled,1.216735331217448,,10,2,0.30000000000000004,0.24000000000000005,5,5.0,
True,False,bfs,336.6919527682079,,10,3,0.24285714285714285,0.19428571428571428,7,,
True,False,mm,336.6923700007212,,10,3,0.24285714285714285,0.19428571428571428,7,,
True,False,mm_bundled,10.209994686217536,,10,3,0.24285714285714285,0.19428571428571428,7,2.0,
True,False,mm_bundled,1.2929360594068255,,10,3,0.24285714285714285,0.19428571428571428,7,5.0,
