success,timeout,method,time,solution,num_vars,trial,initial_awt,awt_thr,initial_active,bundle_size,awt_coeff
True,False,mm_bundled,6.575487463682552,,20,5,0.24285714285714285,0.1457142857142857,7,4.0,0.6
True,False,mm_bundled,0.8219756594560615,,20,5,0.24285714285714285,0.1457142857142857,7,10.0,0.6
False,True,bfs,2.0,,20,6,0.19090909090909092,0.11454545454545455,11,,0.6
False,True,mm,2.0,,20,6,0.19090909090909092,0.11454545454545455,11,,0.6
True,False,mm_bundled,6.669161175326539,,20,6,0.19090909090909092,0.11454545454545455,11,4.0,0.6
True,False,mm_bundled,0.8221230021379426,,20,6,0.19090909090909092,0.11454545454545455,11,10.0,0.6
False,True,bfs,2.0,,20,7,0.2111111111111111,0.12666666666666665,9,,0.6
False,True,mm,2.0,,20,7,0.2111111111111111,0.12666666666666665,9,,0.6
True,False,mm_bundled,6.586572541126202,,20,7,0.2111111111111111,0.12666666666666665,9,4.0,0.6
True,False,mm_bundled,0.8042223174162586,,20,7,0.2111111111111111,0.12666666666666665,9,10.0,0.6
False,True,bfs,2.0,,20,8,0.2,0.12,10,,0.6
False,True,mm,2.0,,20,8,0.2,0.12,10,,0.6
True,False,mm_bundled,6.620091177168376,,20,8,0.2,0.12,10,4.0,0.6
True,False,mm_bundled,0.8001914501190299,,20,8,0.2,0.12,10,10.0,0.6
False,True,bfs,2.0,,20,9,0.17692307692307693,0.10615384615384615,13,,0.6
False,True,mm,2.0,,20,9,0.17692307692307693,0.10615384615384615,13,,0.6
True,False,mm_bundled,6.504559926211726,,20,9,0.17692307692307693,0.10615384615384615,13,4.0,0.6
True,False,mm_bundled,0.8220901003740303,,20,9,0.17692307692307693,0.10615384615384615,13,10.0,0.6
False,True,bfs,2.0,,20,0,0.19090909090909092,0.13363636363636364,11,,0.7
False,True,mm,2.0,,20,0,0.19090909090909092,0.13363636363636364,11,,0.7
True,False,mm_bundled,6.504450492084007,,20,0,0.19090909090909092,0.13363636363636364,11,4.0,0.7
True,False,mm_bundled,0.8220831862352364,,20,0,0.19090909090909092,0.13363636363636364,11,10.0,0.7
False,True,bfs,2.0,,20,1,0.225,0.1575,8,,0.7
True,False,mm,10222.78002157772,"frozenset({0, 2, 4, 7, 9, 14, 16, 17, 18, 19})",20,1,0.225,0.1575,8,,0.7
True,False,mm_bundled,6.534217627843224,,20,1,0.225,0.1575,8,4.0,0.7
True,False,mm_bundled,0.8169170061747233,,20,1,0.225,0.1575,8,10.0,0.7
False,True,bfs,2.0,,20,2,0.225,0.1575,8,,0.7
True,False,mm,8903.675242760857,"frozenset({0, 1, 3, 5, 8, 9, 11, 13, 15, 16})",20,2,0.225,0.1575,8,,0.7
True,False,mm_bundled,6.543804618290494,,20,2,0.225,0.1575,8,4.0,0.7
True,False,mm_bundled,0.8087181409200639,,20,2,0.225,0.1575,8,10.0,0.7
False,True,bfs,2.0,,20,3,0.2,0.13999999999999999,10,,0.7
False,True,mm,2.0,,20,3,0.2,0.13999999999999999,10,,0.7
True,False,mm_bundled,6.828195151828822,,20,3,0.2,0.13999999999999999,10,4.0,0.7
True,False,mm_bundled,0.808717425664266,,20,3,0.2,0.13999999999999999,10,10.0,0.7
False,True,bfs,2.0,,20,4,0.2,0.13999999999999999,10,,0.7
False,True,mm,2.0,,20,4,0.2,0.13999999999999999,10,,0.7
True,False,mm_bundled,6.467560021082563,,20,4,0.2,0.13999999999999999,10,4.0,0.7
True,False,mm_bundled,0.8085309823354085,,20,4,0.2,0.13999999999999999,10,10.0,0.7
False,True,bfs,2.0,,20,5,0.19090909090909092,0.13363636363636364,11,,0.7
